[2025-12-06 20:31:33] ========================================
[2025-12-06 20:31:33] Run: ddqn_ticker-AAPL_hmax-50_ep-750_seed-0_f0ae30cc3a30167c94008c9384dcf21b
[2025-12-06 20:31:33] Device: cpu
[2025-12-06 20:31:33] Episodes=750, eval_interval=50, gamma=0.99, lr=0.0001, batch_size=64
[2025-12-06 20:31:33] Env: initial_amount=100000.0, hmax=50, buy_cost_pct=0.001, sell_cost_pct=0.001, window_size=50, max_pos=1000
[2025-12-06 20:31:33] ========================================
[2025-12-06 20:31:33] State dimension: 57, Action dimension: 101
[2025-12-06 20:31:35] Agent: DDQNAgent with hidden_sizes=(128, 128), buffer_capacity=100000, min_buffer_size=1000
[2025-12-06 20:31:35] Starting training.
[2025-12-06 20:40:16] Ep 134/750 | train_final=147565.36 (ret=0.4757) | avg_td_loss=0.0013
[2025-12-06 20:40:21] Ep 135/750 | train_final=156563.73 (ret=0.5656) | avg_td_loss=0.0013
[2025-12-06 20:40:26] Ep 136/750 | train_final=150722.05 (ret=0.5072) | avg_td_loss=0.0013
[2025-12-06 20:40:30] Ep 137/750 | train_final=150987.39 (ret=0.5099) | avg_td_loss=0.0013
[2025-12-06 20:40:34] Ep 138/750 | train_final=149864.70 (ret=0.4986) | avg_td_loss=0.0014
[2025-12-06 20:40:38] Ep 139/750 | train_final=148532.83 (ret=0.4853) | avg_td_loss=0.0014
[2025-12-06 20:40:42] Ep 140/750 | train_final=147943.38 (ret=0.4794) | avg_td_loss=0.0014
[2025-12-06 20:40:46] Ep 141/750 | train_final=151619.15 (ret=0.5162) | avg_td_loss=0.0013
[2025-12-06 20:40:50] Ep 142/750 | train_final=146429.09 (ret=0.4643) | avg_td_loss=0.0013
[2025-12-06 20:40:54] Ep 143/750 | train_final=147514.99 (ret=0.4751) | avg_td_loss=0.0013
[2025-12-06 20:40:58] Ep 144/750 | train_final=152818.99 (ret=0.5282) | avg_td_loss=0.0013
[2025-12-06 20:41:02] Ep 145/750 | train_final=156653.98 (ret=0.5665) | avg_td_loss=0.0013
[2025-12-06 20:41:06] Ep 146/750 | train_final=153187.74 (ret=0.5319) | avg_td_loss=0.0013
[2025-12-06 20:41:10] Ep 147/750 | train_final=135848.37 (ret=0.3585) | avg_td_loss=0.0013
[2025-12-06 20:41:16] Ep 148/750 | train_final=155361.61 (ret=0.5536) | avg_td_loss=0.0013
[2025-12-06 20:41:22] Ep 149/750 | train_final=141603.24 (ret=0.4160) | avg_td_loss=0.0013
[2025-12-06 20:41:26] Ep 150/750 | train_final=147365.45 (ret=0.4737) | avg_td_loss=0.0013 | val_final=97547.23 (ret=-0.0245)
[2025-12-06 20:41:30] Ep 151/750 | train_final=145891.55 (ret=0.4589) | avg_td_loss=0.0012
[2025-12-06 20:41:34] Ep 152/750 | train_final=150490.27 (ret=0.5049) | avg_td_loss=0.0013
[2025-12-06 20:41:38] Ep 153/750 | train_final=149751.55 (ret=0.4975) | avg_td_loss=0.0013
[2025-12-06 20:41:42] Ep 154/750 | train_final=147925.79 (ret=0.4793) | avg_td_loss=0.0012
[2025-12-06 20:41:46] Ep 155/750 | train_final=143319.85 (ret=0.4332) | avg_td_loss=0.0013
[2025-12-06 20:41:51] Ep 156/750 | train_final=130137.85 (ret=0.3014) | avg_td_loss=0.0012
[2025-12-06 20:41:56] Ep 157/750 | train_final=150422.99 (ret=0.5042) | avg_td_loss=0.0012
[2025-12-06 20:42:00] Ep 158/750 | train_final=146649.80 (ret=0.4665) | avg_td_loss=0.0013
[2025-12-06 20:42:04] Ep 159/750 | train_final=153639.28 (ret=0.5364) | avg_td_loss=0.0013
[2025-12-06 20:42:08] Ep 160/750 | train_final=140236.12 (ret=0.4024) | avg_td_loss=0.0014
[2025-12-06 20:42:12] Ep 161/750 | train_final=147952.92 (ret=0.4795) | avg_td_loss=0.0013
[2025-12-06 20:42:16] Ep 162/750 | train_final=159442.47 (ret=0.5944) | avg_td_loss=0.0013
[2025-12-06 20:42:20] Ep 163/750 | train_final=158119.42 (ret=0.5812) | avg_td_loss=0.0013
[2025-12-06 20:42:25] Ep 164/750 | train_final=156570.00 (ret=0.5657) | avg_td_loss=0.0013
[2025-12-06 20:42:30] Ep 165/750 | train_final=143476.70 (ret=0.4348) | avg_td_loss=0.0013
[2025-12-06 20:42:34] Ep 166/750 | train_final=148202.01 (ret=0.4820) | avg_td_loss=0.0013
[2025-12-06 20:42:39] Ep 167/750 | train_final=149792.13 (ret=0.4979) | avg_td_loss=0.0013
[2025-12-06 20:42:43] Ep 168/750 | train_final=162935.42 (ret=0.6294) | avg_td_loss=0.0012
[2025-12-06 20:42:47] Ep 169/750 | train_final=152097.41 (ret=0.5210) | avg_td_loss=0.0012
[2025-12-06 20:42:52] Ep 170/750 | train_final=146065.07 (ret=0.4607) | avg_td_loss=0.0013
[2025-12-06 20:42:56] Ep 171/750 | train_final=145952.69 (ret=0.4595) | avg_td_loss=0.0012
[2025-12-06 20:43:00] Ep 172/750 | train_final=153331.17 (ret=0.5333) | avg_td_loss=0.0012
[2025-12-06 20:43:04] Ep 173/750 | train_final=158543.43 (ret=0.5854) | avg_td_loss=0.0012
[2025-12-06 20:43:09] Ep 174/750 | train_final=152933.46 (ret=0.5293) | avg_td_loss=0.0013
[2025-12-06 20:43:13] Ep 175/750 | train_final=150454.79 (ret=0.5045) | avg_td_loss=0.0013
[2025-12-06 20:43:18] Ep 176/750 | train_final=156114.25 (ret=0.5611) | avg_td_loss=0.0013
[2025-12-06 20:43:22] Ep 177/750 | train_final=147071.88 (ret=0.4707) | avg_td_loss=0.0013
[2025-12-06 20:43:27] Ep 178/750 | train_final=157197.63 (ret=0.5720) | avg_td_loss=0.0013
[2025-12-06 20:43:31] Ep 179/750 | train_final=153112.31 (ret=0.5311) | avg_td_loss=0.0015
[2025-12-06 20:43:35] Ep 180/750 | train_final=153400.90 (ret=0.5340) | avg_td_loss=0.0015
[2025-12-06 20:43:39] Ep 181/750 | train_final=156793.11 (ret=0.5679) | avg_td_loss=0.0015
[2025-12-06 20:43:43] Ep 182/750 | train_final=158147.24 (ret=0.5815) | avg_td_loss=0.0016
[2025-12-06 20:43:49] Ep 183/750 | train_final=156504.11 (ret=0.5650) | avg_td_loss=0.0015
[2025-12-06 20:43:53] Ep 184/750 | train_final=152852.49 (ret=0.5285) | avg_td_loss=0.0015
[2025-12-06 20:43:57] Ep 185/750 | train_final=131252.69 (ret=0.3125) | avg_td_loss=0.0014
[2025-12-06 20:44:01] Ep 186/750 | train_final=150664.31 (ret=0.5066) | avg_td_loss=0.0015
[2025-12-06 20:44:06] Ep 187/750 | train_final=152893.48 (ret=0.5289) | avg_td_loss=0.0015
[2025-12-06 20:44:10] Ep 188/750 | train_final=155338.64 (ret=0.5534) | avg_td_loss=0.0015
[2025-12-06 20:44:14] Ep 189/750 | train_final=142672.51 (ret=0.4267) | avg_td_loss=0.0015
[2025-12-06 20:44:18] Ep 190/750 | train_final=152005.10 (ret=0.5201) | avg_td_loss=0.0014
[2025-12-06 20:44:23] Ep 191/750 | train_final=155636.08 (ret=0.5564) | avg_td_loss=0.0014
[2025-12-06 20:44:28] Ep 192/750 | train_final=153427.38 (ret=0.5343) | avg_td_loss=0.0013
[2025-12-06 20:44:32] Ep 193/750 | train_final=165888.26 (ret=0.6589) | avg_td_loss=0.0014
[2025-12-06 20:44:36] Ep 194/750 | train_final=147619.50 (ret=0.4762) | avg_td_loss=0.0014
[2025-12-06 20:44:40] Ep 195/750 | train_final=152614.15 (ret=0.5261) | avg_td_loss=0.0013
[2025-12-06 20:44:44] Ep 196/750 | train_final=160034.97 (ret=0.6003) | avg_td_loss=0.0014
[2025-12-06 20:44:48] Ep 197/750 | train_final=154020.19 (ret=0.5402) | avg_td_loss=0.0013
[2025-12-06 20:44:51] Ep 198/750 | train_final=169064.38 (ret=0.6906) | avg_td_loss=0.0013
[2025-12-06 20:44:55] Ep 199/750 | train_final=161116.71 (ret=0.6112) | avg_td_loss=0.0013
[2025-12-06 20:45:00] Ep 200/750 | train_final=157844.66 (ret=0.5784) | avg_td_loss=0.0013 | val_final=101010.32 (ret=0.0101)
[2025-12-06 20:45:03] Ep 201/750 | train_final=165549.14 (ret=0.6555) | avg_td_loss=0.0013
[2025-12-06 20:45:07] Ep 202/750 | train_final=162603.38 (ret=0.6260) | avg_td_loss=0.0013
[2025-12-06 20:45:11] Ep 203/750 | train_final=140614.43 (ret=0.4061) | avg_td_loss=0.0013
[2025-12-06 20:45:15] Ep 204/750 | train_final=164290.63 (ret=0.6429) | avg_td_loss=0.0012
[2025-12-06 20:45:19] Ep 205/750 | train_final=157599.47 (ret=0.5760) | avg_td_loss=0.0012
[2025-12-06 20:45:23] Ep 206/750 | train_final=153281.14 (ret=0.5328) | avg_td_loss=0.0012
[2025-12-06 20:45:27] Ep 207/750 | train_final=157713.36 (ret=0.5771) | avg_td_loss=0.0012
[2025-12-06 20:45:32] Ep 208/750 | train_final=132219.29 (ret=0.3222) | avg_td_loss=0.0012
[2025-12-06 20:45:36] Ep 209/750 | train_final=148151.56 (ret=0.4815) | avg_td_loss=0.0012
[2025-12-06 20:45:40] Ep 210/750 | train_final=144352.69 (ret=0.4435) | avg_td_loss=0.0012
[2025-12-06 20:45:44] Ep 211/750 | train_final=159556.44 (ret=0.5956) | avg_td_loss=0.0012
[2025-12-06 20:45:48] Ep 212/750 | train_final=153046.43 (ret=0.5305) | avg_td_loss=0.0011
[2025-12-06 20:45:52] Ep 213/750 | train_final=152809.91 (ret=0.5281) | avg_td_loss=0.0011
[2025-12-06 20:45:56] Ep 214/750 | train_final=157315.22 (ret=0.5732) | avg_td_loss=0.0011
[2025-12-06 20:46:00] Ep 215/750 | train_final=148092.67 (ret=0.4809) | avg_td_loss=0.0012
[2025-12-06 20:46:04] Ep 216/750 | train_final=160801.37 (ret=0.6080) | avg_td_loss=0.0011
[2025-12-06 20:46:08] Ep 217/750 | train_final=157714.95 (ret=0.5771) | avg_td_loss=0.0011
[2025-12-06 20:46:12] Ep 218/750 | train_final=173489.21 (ret=0.7349) | avg_td_loss=0.0011
[2025-12-06 20:46:16] Ep 219/750 | train_final=168959.00 (ret=0.6896) | avg_td_loss=0.0011
[2025-12-06 20:46:20] Ep 220/750 | train_final=161805.13 (ret=0.6181) | avg_td_loss=0.0012
[2025-12-06 20:46:24] Ep 221/750 | train_final=157876.26 (ret=0.5788) | avg_td_loss=0.0011
[2025-12-06 20:46:28] Ep 222/750 | train_final=157288.44 (ret=0.5729) | avg_td_loss=0.0011
[2025-12-06 20:46:32] Ep 223/750 | train_final=153134.89 (ret=0.5313) | avg_td_loss=0.0011
[2025-12-06 20:46:36] Ep 224/750 | train_final=158520.27 (ret=0.5852) | avg_td_loss=0.0011
